original,short,category
I will find a fault in myself if people don't like me.,Unpopularity,PT
I cry when I feel down or things don't go the right way.,Life struggles,PT
I am 100% happy with my life.,Happiness in life,PT
I am always full of life and energy.,Energy levels,PT
"I prefer big dangerous dogs to smaller, calmer dogs.",Small - big dogs,PT
I believe all my personality traits are positive.,Personality,PT
If I find something the doesn't belong to me I will hand it in.,Finding lost valuables,PT
I find it very difficult to get up in the morning.,Getting up,PT
I have many different hobbies and interests.,Interests or hobbies,PT
I always listen to my parents' advice.,Parents' advice,PT
I enjoy taking part in surveys.,Questionnaires or polls,PT
How much time do you spend online?,Internet usage,PT - Cat
I save all the money I can.,Finances,SH
I enjoy going to large shopping centres.,Shopping centres,SH
I prefer branded clothing to non branded.,Branded clothing,SH
I spend a lot of money on  partying and socializing.,Entertainment spending,SH
I spend a lot of money on my appearance.,Spending on looks,SH
I spend a lot of money on gadgets.,Spending on gadgets,SH
"I will hapilly pay more money for good, quality or healthy food.",Spending on healthy eating,SH
Age,Age,De - Int
Height,Height,De - Int
Weight,Weight,De - Int
How many siblings do you have?,Number of siblings,De - Int
Gender,Gender,De - Cat
I am,Left - right handed,De - Cat
Highest education achieved,Education,De - Cat
I am the only child,Only child,De - Cat
I spent most of my childhood in a,Village - town,De - Cat
I lived most of my childhood in a,House - block of flats,De - Cat
