Gender,Education,Heights,Spiders,Snakes,Fear of public speaking,Ageing,Smoking,Alcohol,Healthy eating,Daily events,Prioritising workload,Writing notes,Workaholism,Thinking ahead,Final judgement,Reliability,Keeping promises,Loss of interest,Friends versus money,Funniness,Fake,Criminal damage,Decision making,Elections,Self-criticism,Judgment calls,Hypochondria,Empathy,Eating to survive,Giving,Compassion to animals,Borrowed stuff,Loneliness,Cheating in school,Health,Changing the past,God,Dreams,Charity,Number of friends,Waiting,New environment,Mood swings,Appearence and gestures,Socializing,Achievements,Responding to a serious letter,Children,Assertiveness,Getting angry,Knowing the right people,Public speaking,Unpopularity,Life struggles,Happiness in life,Energy levels,Small - big dogs,Personality,Finding lost valuables,Getting up,Interests or hobbies,Parents' advice,Questionnaires or polls
female,college/bachelor degree,Afraid,Afraid,Afraid,Not afraid,Not afraid,tried smoking,drink a lot,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,3.0,2,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2,2.0,3,1.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0
female,masters degree,Afraid,Afraid,Afraid,Neutral,Neutral,current smoker,social drinker,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,2,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2,2.0,3,1.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0
female,secondary school,Not afraid,Not afraid,Neutral,Not afraid,Afraid,current smoker,social drinker,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,1,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3,1.0,1,2.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0
female,primary school,Afraid,Afraid,Neutral,Afraid,Neutral,tried smoking,social drinker,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1,2.0,3.0,2.0,3.0,3.0,1.0,3.0,1.0,2,1.0,3,1.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0
female,college/bachelor degree,Not afraid,Not afraid,Not afraid,Afraid,Not afraid,tried smoking,social drinker,3.0,2.0,1.0,3.0,1.0,3.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1,1.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,2,1.0,2,1.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0
female,secondary school,Afraid,Afraid,Afraid,Neutral,Neutral,current smoker,social drinker,2.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,3.0,2,2.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,2,2.0,3,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,1.0
female,secondary school,Not afraid,Afraid,Not afraid,Afraid,Not afraid,tried smoking,social drinker,2.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,3.0,3,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2,1.0,3,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0
female,college/bachelor degree,Afraid,Neutral,Afraid,Not afraid,Not afraid,current smoker,social drinker,2.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,2,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2,2.0,3,2.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0
female,college/bachelor degree,Neutral,Afraid,Afraid,Afraid,Neutral,current smoker,drink a lot,3.0,2.0,3.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,1,1.0,3.0,3.0,2.0,1.0,3.0,3.0,2.0,1,1.0,3,1.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0
female,secondary school,Not afraid,Afraid,Neutral,Afraid,Afraid,current smoker,drink a lot,2.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,1,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3,1.0,3,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0
male,college/bachelor degree,Afraid,Not afraid,Neutral,Afraid,Not afraid,current smoker,drink a lot,2.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,1,1.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3,1.0,1,1.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0
male,college/bachelor degree,Not afraid,Not afraid,Neutral,Afraid,Not afraid,tried smoking,social drinker,2.0,3.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2,1.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2,2.0,2,1.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0
male,secondary school,Neutral,Neutral,Afraid,Not afraid,Afraid,current smoker,social drinker,2.0,1.0,3.0,2.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,1,2.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,2,2.0,2,1.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0
male,secondary school,Afraid,Afraid,Afraid,Afraid,Afraid,never smoked,social drinker,3.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3,2.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,3,1.0,3,1.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,1.0
